Model,Avg_Epoch_Time_s,Total_Epoch_Time_s,Total_Training_Time_s,Test_Accuracy
FCN,0.1636862357457479,4.9105870723724365,4.942780494689941,1.0
CNN,1.134589501789638,7.942126512527466,7.957635164260864,1.0
