Model,Avg_Epoch_Time_s,Total_Epoch_Time_s,Total_Training_Time_s,Test_Accuracy
FCN,0.17804740215169973,5.163374662399292,5.225414991378784,1.0
CNN,1.149428939819336,22.98857879638672,23.003737449645996,1.0
